GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2021/06/25-16:46:00:00,5,2.14,40.061145,-105.20839583333333,1593.7,0.054531111111111114,162.53,,
2021/06/25-16:46:00:10,5,2.14,40.061145499999995,-105.20839583333333,1593.8,0.08076777777777779,162.53,,
2021/06/25-16:46:00:20,5,2.14,40.06114633333333,-105.20839616666666,1593.9,0.02623666666666667,162.53,,
2021/06/25-16:46:00:30,5,2.14,40.061147166666665,-105.2083965,1594.0,0.08848444444444445,162.53,,
2021/06/25-16:46:00:40,5,2.14,40.06114733333333,-105.2083965,1593.9,0.12038000000000001,162.53,,
2021/06/25-16:46:00:50,5,2.14,40.061147,-105.2083965,1593.9,0.0797388888888889,162.53,,
2021/06/25-16:46:00:60,5,2.14,40.0611475,-105.2083965,1594.0,0.09723000000000001,162.53,,
2021/06/25-16:46:00:70,5,2.14,40.06114816666666,-105.2083965,1594.1,0.09723000000000001,162.53,,
2021/06/25-16:46:00:80,5,2.14,40.06114883333333,-105.20839683333334,1594.2,0.09054222222222222,162.53,,
2021/06/25-16:46:00:90,5,2.14,40.061149166666674,-105.20839683333334,1594.2,0.08797,162.53,,
2021/06/25-16:46:01:00,5,2.14,40.061149500000006,-105.20839683333334,1594.3,0.06276222222222222,162.53,,
2021/06/25-16:46:01:10,5,2.14,40.06115016666667,-105.208397,1594.4,0.03961222222222222,162.53,,
2021/06/25-16:46:01:20,5,2.14,40.06115033333333,-105.208397,1594.3,0.06482,162.53,,
2021/06/25-16:46:01:30,5,2.14,40.06115066666667,-105.20839733333332,1594.4,0.06790666666666667,162.53,,
2021/06/25-16:46:01:40,5,2.14,40.06115116666667,-105.20839749999999,1594.3,0.07253666666666667,162.53,,
2021/06/25-16:46:01:50,5,2.14,40.061151333333335,-105.20839766666668,1594.3,0.0715077777777778,162.53,,
2021/06/25-16:46:01:60,5,2.14,40.061152,-105.20839783333334,1594.4,0.06842111111111111,162.53,,
2021/06/25-16:46:01:70,5,2.14,40.06115216666667,-105.20839783333334,1594.4,0.0463,162.53,,
2021/06/25-16:46:01:80,5,2.14,40.06115283333334,-105.20839833333334,1594.5,0.06945000000000001,162.53,,
